No,Formula,Spacegroup,Total_Atoms,RF_Predicted_Energy,GNN_Predicted_Energy,CHGNet_Total_Energy,Web_App_Structure_Data
11,KSb,"[Orthorhombic] 점군: mmm, 공간군: Pmmm (No.47)",2,-0.2267,-0.4335,-3.0259,"[{'data': {'a': [3.0526062975903666e-10, 0.0, 1.8691822657005475e-26], 'b': [-2.5348543497518282e-26, 4.1397313111285514e-10, 2.5348543497518282e-26], 'c': [0.0, 0.0, 5.295105696349799e-10], 'atoms': [{'x': 0.0, 'y': 0.0, 'z': 2.6475528481748995e-10, 'element': 'K'}, {'x': 1.526303148795183e-10, 'y': 2.0698656555642757e-10, 'z': 2.2020183077261879e-26, 'element': 'Sb'}]}, 'natoms': 2, 'element': {'K': 1, 'Sb': 1}}]"
12,NbAs2,"[Triclinic] 점군: -1, 공간군: P-1 (No.2)",6,-0.065,-0.3273,-6.845,"[{'data': {'a': [4.740640834501759e-10, 0.0, 0.0], 'b': [-1.1315560078473869e-10, 5.031752180548447e-10, 0.0], 'c': [-5.811470939061215e-11, -1.660643853942797e-10, 4.978015697230914e-10], 'atoms': [{'x': 2.7441167027956237e-10, 'y': 2.721730895081017e-10, 'z': 2.1206164514298448e-10, 'element': 'Nb'}, {'x': 2.8382102995262732e-11, 'y': 6.493774315246334e-11, 'z': 2.8573992458010695e-10, 'element': 'Nb'}, {'x': 2.6504601890199894e-10, 'y': 1.428335484238295e-10, 'z': 4.42545302090834e-10, 'element': 'As'}, {'x': 2.6892053830526674e-10, 'y': 6.305112342820386e-12, 'z': 1.7727601269788102e-10, 'element': 'As'}, {'x': 3.7747754372826194e-11, 'y': 1.9427728423673553e-10, 'z': 5.52562676322574e-11, 'element': 'As'}, {'x': 3.387323496955839e-11, 'y': 3.308057203177446e-10, 'z': 3.205255570252104e-10, 'element': 'As'}]}, 'natoms': 6, 'element': {'Nb': 2, 'As': 4}}]"
13,YbSb,"[Orthorhombic] 점군: mmm, 공간군: Pmmm (No.47)",2,-0.4518,-1.4107,-3.2085,"[{'data': {'a': [3.6414235135167e-10, 0.0, 2.2297288250840676e-26], 'b': [-2.966318807019155e-26, 4.844366243531475e-10, 2.966318807019155e-26], 'c': [0.0, 0.0, 5.092341043930688e-10], 'atoms': [{'x': 1.82071175675835e-10, 'y': 2.4221831217657377e-10, 'z': 2.5980238160516113e-26, 'element': 'Yb'}, {'x': -1.4831594035095774e-26, 'y': 2.4221831217657377e-10, 'z': 2.546170521965344e-10, 'element': 'Sb'}]}, 'natoms': 2, 'element': {'Yb': 1, 'Sb': 1}}]"
14,KSb,"[Orthorhombic] 점군: mmm, 공간군: Cmcm (No.63)",8,-0.2289,-0.4812,-3.1173,"[{'data': {'a': [4.817049475042582e-10, 0.0, 2.949592110472668e-26], 'b': [-8.732042114376508e-26, 1.4260506981206492e-09, 8.732042114376508e-26], 'c': [0.0, 0.0, 4.956611295414986e-10], 'atoms': [{'x': 2.40852473752129e-10, 'y': 1.2134644012866141e-09, 'z': 3.717458471561241e-10, 'element': 'K'}, {'x': 2.408524737521291e-10, 'y': 2.125862968340352e-10, 'z': 1.2391528238537469e-10, 'element': 'K'}, {'x': -3.0643054173863024e-26, 'y': 5.004390522262894e-10, 'z': 3.71745847156124e-10, 'element': 'K'}, {'x': -5.667736696990206e-26, 'y': 9.256116458943598e-10, 'z': 1.2391528238537474e-10, 'element': 'K'}, {'x': -4.217206820998669e-27, 'y': 6.887221399565742e-11, 'z': 3.71745847156124e-10, 'element': 'Sb'}, {'x': -8.310321432276641e-26, 'y': 1.3571784841249918e-09, 'z': 1.2391528238537474e-10, 'element': 'Sb'}, {'x': 2.4085247375212904e-10, 'y': 7.818975630559821e-10, 'z': 3.7174584715612406e-10, 'element': 'Sb'}, {'x': 2.4085247375212904e-10, 'y': 6.441531350646672e-10, 'z': 1.239152823853747e-10, 'element': 'Sb'}]}, 'natoms': 8, 'element': {'K': 4, 'Sb': 4}}]"
15,NbAs2,"[Triclinic] 점군: -1, 공간군: P-1 (No.2)",6,-0.0785,-0.3314,-6.8427,"[{'data': {'a': [4.709255136176388e-10, 0.0, 0.0], 'b': [-1.754432544153801e-11, 5.185657950037099e-10, 0.0], 'c': [-1.0909576234517089e-10, -1.5174740196823467e-10, 4.892923137907423e-10], 'atoms': [{'x': 2.432946381002048e-10, 'y': -9.253208486923502e-11, 'z': 3.984730573601187e-10, 'element': 'Nb'}, {'x': 1.0099078773072512e-10, 'y': 4.593504779047102e-10, 'z': 9.08192564306237e-11, 'element': 'Nb'}, {'x': 2.2696415866603647e-10, 'y': 1.683114481037556e-10, 'z': 4.689133846175801e-10, 'element': 'As'}, {'x': 3.5259914370825523e-10, 'y': 1.7663948838097592e-11, 'z': 1.7877315341101087e-10, 'element': 'As'}, {'x': 1.1732126716489344e-10, 'y': 1.9850694493171958e-10, 'z': 2.0378929173162365e-11, 'element': 'As'}, {'x': -8.313717877325292e-12, 'y': 3.4915444419737763e-10, 'z': 3.1051916037973154e-10, 'element': 'As'}]}, 'natoms': 6, 'element': {'Nb': 2, 'As': 4}}]"
16,SrSb,"[Tetragonal] 점군: 4/mmm, 공간군: P4/mmm (No.123)",2,-0.3852,-0.7934,-3.9174,"[{'data': {'a': [4.278854788485923e-10, 0.0, 2.620042910367805e-26], 'b': [-2.620042910367805e-26, 4.278854788485923e-10, 2.620042910367805e-26], 'c': [0.0, 0.0, 3.5519091320111753e-10], 'atoms': [{'x': 2.1394273942429614e-10, 'y': 2.1394273942429614e-10, 'z': 1.775954566005588e-10, 'element': 'Sr'}, {'x': 0.0, 'y': 0.0, 'z': 0.0, 'element': 'Sb'}]}, 'natoms': 2, 'element': {'Sr': 1, 'Sb': 1}}]"
17,CaSb,"[Monoclinic] 점군: 2/m, 공간군: C2/m (No.12)",8,-0.3516,-0.969,-4.104,"[{'data': {'a': [0.0, 1.161694742449372e-09, 0.0], 'b': [4.361943014514262e-10, 0.0, 0.0], 'c': [0.0, -2.5402299308683303e-11, -4.774115290311004e-10], 'atoms': [{'x': 2.180971507257131e-10, 'y': 1.005622636853973e-09, 'z': -1.2077609490616745e-10, 'element': 'Ca'}, {'x': 2.180971507257131e-10, 'y': 1.306698062867157e-10, 'z': -3.566354341249329e-10, 'element': 'Ca'}, {'x': 0.0, 'y': 4.24775265629287e-10, 'z': -1.2077609490616745e-10, 'element': 'Ca'}, {'x': 0.0, 'y': 7.115171775114017e-10, 'z': -3.566354341249329e-10, 'element': 'Ca'}, {'x': 0.0, 'y': 1.0124871773420613e-10, 'z': -1.1475995829568495e-10, 'element': 'Sb'}, {'x': 0.0, 'y': 1.0350437254064825e-09, 'z': -3.626515707354154e-10, 'element': 'Sb'}, {'x': 2.180971507257131e-10, 'y': 6.820960889588921e-10, 'z': -1.1475995829568495e-10, 'element': 'Sb'}, {'x': 2.180971507257131e-10, 'y': 4.5419635418179656e-10, 'z': -3.626515707354154e-10, 'element': 'Sb'}]}, 'natoms': 8, 'element': {'Ca': 4, 'Sb': 4}}]"
18,SrAs2,"[Orthorhombic] 점군: mmm, 공간군: Cmmm (No.65)",6,-0.2572,-0.7505,-4.4244,"[{'data': {'a': [4.119886622943064e-10, 0.0, 2.522702982818611e-26], 'b': [-5.727784174046352e-26, 9.354181430979542e-10, 5.727784174046352e-26], 'c': [0.0, 0.0, 4.1802967622383455e-10], 'atoms': [{'x': 2.059943311471532e-10, 'y': 0.0, 'z': 2.0901483811191728e-10, 'element': 'Sr'}, {'x': -2.863892087023176e-26, 'y': 4.677090715489771e-10, 'z': 2.0901483811191733e-10, 'element': 'Sr'}, {'x': -4.7642863173506206e-26, 'y': 7.780670019580671e-10, 'z': 4.7642863173506206e-26, 'element': 'As'}, {'x': 2.0599433114715319e-10, 'y': 6.250602126888642e-10, 'z': 5.0887414351282127e-26, 'element': 'As'}, {'x': 2.059943311471532e-10, 'y': 3.1035793040909006e-10, 'z': 3.1617457217367513e-26, 'element': 'As'}, {'x': -9.634978566957303e-27, 'y': 1.5735114113988703e-10, 'z': 9.634978566957303e-27, 'element': 'As'}]}, 'natoms': 6, 'element': {'Sr': 2, 'As': 4}}]"
19,Na3Sb,"[Trigonal] 점군: -3m, 공간군: P-3m1 (No.164)",4,-0.1779,-0.596,-2.4017,"[{'data': {'a': [2.625634637477453e-10, -4.547732594223638e-10, 0.0], 'b': [2.625634637477453e-10, 4.547732594223638e-10, 0.0], 'c': [0.0, 0.0, 6.273478539376136e-10], 'atoms': [{'x': 2.625634637477453e-10, 'y': 1.5159108647412125e-10, 'z': 5.344180659948416e-10, 'element': 'Na'}, {'x': 0.0, 'y': 0.0, 'z': 3.136739269688068e-10, 'element': 'Na'}, {'x': 2.6256346374774533e-10, 'y': -1.515910864741213e-10, 'z': 9.292978794277204e-11, 'element': 'Na'}, {'x': 0.0, 'y': 0.0, 'z': 0.0, 'element': 'Sb'}]}, 'natoms': 4, 'element': {'Na': 3, 'Sb': 1}}]"
20,InBr3,"[Monoclinic] 점군: m, 공간군: Cm (No.8)",8,-0.3713,-0.7862,-3.1207,"[{'data': {'a': [0.0, 7.094398979184141e-10, 0.0], 'b': [1.6796446386660687e-09, 0.0, 0.0], 'c': [0.0, -2.304535095814798e-10, -3.3743067074347565e-10], 'atoms': [{'x': 8.398223193330343e-10, 'y': -1.640337293786188e-11, 'z': -2.454992515636068e-10, 'element': 'In'}, {'x': 0.0, 'y': 3.383165760213452e-10, 'z': -2.454992515636068e-10, 'element': 'In'}, {'x': 8.398223193330343e-10, 'y': 4.3361843646807845e-10, 'z': -3.1680696594475176e-10, 'element': 'Br'}, {'x': 6.197428257416958e-10, 'y': 7.183519397776924e-11, 'z': -3.2036727958415514e-10, 'element': 'Br'}, {'x': 2.2007949359133861e-10, 'y': 4.265551429369763e-10, 'z': -3.2036727958415514e-10, 'element': 'Br'}, {'x': 0.0, 'y': 7.889848750887141e-11, 'z': -3.1680696594475176e-10, 'element': 'Br'}, {'x': 1.4595651450747301e-09, 'y': 4.265551429369763e-10, 'z': -3.2036727958415514e-10, 'element': 'Br'}, {'x': 1.059901812924373e-09, 'y': 7.183519397776924e-11, 'z': -3.2036727958415514e-10, 'element': 'Br'}]}, 'natoms': 8, 'element': {'In': 2, 'Br': 6}}]"
